id,title,label,characteristics,library_strategy,extract_protocol,label_verified
GSE230181:GSM7191281,IMR90 Sen IR set A rep 1,1,"{'tissue': 'Lung Fibroblast', 'group': 'normal', 'agent': '10Gy ionising radiation 14 days prior collection'}",RNA-Seq,"Cells were washed and directly lysed in Trizol (Thermo, 15596018). | total RNA was incubated with mRNA capture beads in order to remove contaminating ribosomal RNA from the sample. The resulting poly(A)-captured mRNA was then fragmented. First-strand cDNA synthesis was performed using reverse transcriptase and random primers in the presence of Actinomycin D, followed by second-strand cDNA synthesis with DNA polymerase I and RNaseH. Double-stranded cDNA was end-repaired and A-tailed for subsequent adaptor ligation. Indexed adaptors were ligated to the A-tailed cDNA. Enrichment by PCR was performed to generate the final cDNA sequencing library.",True
GSE230181:GSM7191282,IMR90 Sen IR set A rep 2,1,"{'tissue': 'Lung Fibroblast', 'group': 'normal', 'agent': '10Gy ionising radiation 14 days prior collection'}",RNA-Seq,"Cells were washed and directly lysed in Trizol (Thermo, 15596018). | total RNA was incubated with mRNA capture beads in order to remove contaminating ribosomal RNA from the sample. The resulting poly(A)-captured mRNA was then fragmented. First-strand cDNA synthesis was performed using reverse transcriptase and random primers in the presence of Actinomycin D, followed by second-strand cDNA synthesis with DNA polymerase I and RNaseH. Double-stranded cDNA was end-repaired and A-tailed for subsequent adaptor ligation. Indexed adaptors were ligated to the A-tailed cDNA. Enrichment by PCR was performed to generate the final cDNA sequencing library.",True
GSE230181:GSM7191284,IMR90 Sen IR set A rep 4,1,"{'tissue': 'Lung Fibroblast', 'group': 'normal', 'agent': '10Gy ionising radiation 14 days prior collection'}",RNA-Seq,"Cells were washed and directly lysed in Trizol (Thermo, 15596018). | total RNA was incubated with mRNA capture beads in order to remove contaminating ribosomal RNA from the sample. The resulting poly(A)-captured mRNA was then fragmented. First-strand cDNA synthesis was performed using reverse transcriptase and random primers in the presence of Actinomycin D, followed by second-strand cDNA synthesis with DNA polymerase I and RNaseH. Double-stranded cDNA was end-repaired and A-tailed for subsequent adaptor ligation. Indexed adaptors were ligated to the A-tailed cDNA. Enrichment by PCR was performed to generate the final cDNA sequencing library.",True
GSE230181:GSM7191285,IMR90 Sen IR set A rep 5,1,"{'tissue': 'Lung Fibroblast', 'group': 'normal', 'agent': '10Gy ionising radiation 14 days prior collection'}",RNA-Seq,"Cells were washed and directly lysed in Trizol (Thermo, 15596018). | total RNA was incubated with mRNA capture beads in order to remove contaminating ribosomal RNA from the sample. The resulting poly(A)-captured mRNA was then fragmented. First-strand cDNA synthesis was performed using reverse transcriptase and random primers in the presence of Actinomycin D, followed by second-strand cDNA synthesis with DNA polymerase I and RNaseH. Double-stranded cDNA was end-repaired and A-tailed for subsequent adaptor ligation. Indexed adaptors were ligated to the A-tailed cDNA. Enrichment by PCR was performed to generate the final cDNA sequencing library.",True
GSE230181:GSM7191286,IMR90 Sen IR set B rep 1,1,"{'tissue': 'Lung Fibroblast', 'group': 'normal', 'agent': '10Gy ionising radiation 14 days prior collection'}",RNA-Seq,"Cells were washed and directly lysed in Trizol (Thermo, 15596018). | total RNA was incubated with mRNA capture beads in order to remove contaminating ribosomal RNA from the sample. The resulting poly(A)-captured mRNA was then fragmented. First-strand cDNA synthesis was performed using reverse transcriptase and random primers in the presence of Actinomycin D, followed by second-strand cDNA synthesis with DNA polymerase I and RNaseH. Double-stranded cDNA was end-repaired and A-tailed for subsequent adaptor ligation. Indexed adaptors were ligated to the A-tailed cDNA. Enrichment by PCR was performed to generate the final cDNA sequencing library.",True
GSE230181:GSM7191287,IMR90 Sen IR set B rep 2,1,"{'tissue': 'Lung Fibroblast', 'group': 'normal', 'agent': '10Gy ionising radiation 14 days prior collection'}",RNA-Seq,"Cells were washed and directly lysed in Trizol (Thermo, 15596018). | total RNA was incubated with mRNA capture beads in order to remove contaminating ribosomal RNA from the sample. The resulting poly(A)-captured mRNA was then fragmented. First-strand cDNA synthesis was performed using reverse transcriptase and random primers in the presence of Actinomycin D, followed by second-strand cDNA synthesis with DNA polymerase I and RNaseH. Double-stranded cDNA was end-repaired and A-tailed for subsequent adaptor ligation. Indexed adaptors were ligated to the A-tailed cDNA. Enrichment by PCR was performed to generate the final cDNA sequencing library.",True
GSE230181:GSM7191288,IMR90 Sen IR set B rep 3,1,"{'tissue': 'Lung Fibroblast', 'group': 'normal', 'agent': '10Gy ionising radiation 14 days prior collection'}",RNA-Seq,"Cells were washed and directly lysed in Trizol (Thermo, 15596018). | total RNA was incubated with mRNA capture beads in order to remove contaminating ribosomal RNA from the sample. The resulting poly(A)-captured mRNA was then fragmented. First-strand cDNA synthesis was performed using reverse transcriptase and random primers in the presence of Actinomycin D, followed by second-strand cDNA synthesis with DNA polymerase I and RNaseH. Double-stranded cDNA was end-repaired and A-tailed for subsequent adaptor ligation. Indexed adaptors were ligated to the A-tailed cDNA. Enrichment by PCR was performed to generate the final cDNA sequencing library.",True
GSE230181:GSM7191289,IMR90 Sen IR set C rep 1,1,"{'tissue': 'Lung Fibroblast', 'group': 'normal', 'agent': '10Gy ionising radiation 14 days prior collection'}",RNA-Seq,"Cells were washed and directly lysed in Trizol (Thermo, 15596018). | total RNA was incubated with mRNA capture beads in order to remove contaminating ribosomal RNA from the sample. The resulting poly(A)-captured mRNA was then fragmented. First-strand cDNA synthesis was performed using reverse transcriptase and random primers in the presence of Actinomycin D, followed by second-strand cDNA synthesis with DNA polymerase I and RNaseH. Double-stranded cDNA was end-repaired and A-tailed for subsequent adaptor ligation. Indexed adaptors were ligated to the A-tailed cDNA. Enrichment by PCR was performed to generate the final cDNA sequencing library.",True
GSE230181:GSM7191290,IMR90 Sen IR set C rep 2,1,"{'tissue': 'Lung Fibroblast', 'group': 'normal', 'agent': '10Gy ionising radiation 14 days prior collection'}",RNA-Seq,"Cells were washed and directly lysed in Trizol (Thermo, 15596018). | total RNA was incubated with mRNA capture beads in order to remove contaminating ribosomal RNA from the sample. The resulting poly(A)-captured mRNA was then fragmented. First-strand cDNA synthesis was performed using reverse transcriptase and random primers in the presence of Actinomycin D, followed by second-strand cDNA synthesis with DNA polymerase I and RNaseH. Double-stranded cDNA was end-repaired and A-tailed for subsequent adaptor ligation. Indexed adaptors were ligated to the A-tailed cDNA. Enrichment by PCR was performed to generate the final cDNA sequencing library.",True
GSE230181:GSM7191291,IMR90 Sen IR set C rep 3,1,"{'tissue': 'Lung Fibroblast', 'group': 'normal', 'agent': '10Gy ionising radiation 14 days prior collection'}",RNA-Seq,"Cells were washed and directly lysed in Trizol (Thermo, 15596018). | total RNA was incubated with mRNA capture beads in order to remove contaminating ribosomal RNA from the sample. The resulting poly(A)-captured mRNA was then fragmented. First-strand cDNA synthesis was performed using reverse transcriptase and random primers in the presence of Actinomycin D, followed by second-strand cDNA synthesis with DNA polymerase I and RNaseH. Double-stranded cDNA was end-repaired and A-tailed for subsequent adaptor ligation. Indexed adaptors were ligated to the A-tailed cDNA. Enrichment by PCR was performed to generate the final cDNA sequencing library.",True
